"","ep","explo","year","x","y","height","vascular","vasc_cum","biomass","LUIgroup","Soil","Slope","Aspect","Rich","Shann","Simps","invSimps","uniSimps","alpha","Evenn","SW","LAI","cab","cw","fpar","fcover","S2b2","S2b3","S2b4","S2b5","S2b6","S2b7","S2b8","S2b8a","S2b11","S2b12","NDVI","NDII","VHMax","VHMedian","VHMin","VHStd","VVMax","VVMedian","VVMin","VVStd","VHMax_May","VHMedian_May","VHMin_May","VHStd_May","VVMax_May","VVMedian_May","VVMin_May","VVStd_May","Phase","Amp"
"1","AEG01","ALB","2017",525313,5360594,13.38,33,76.5,153.25,"medium","Rendzina",2.85,103.0023,14,2.188420334,0.854195596,6.858503401,0.86639839,5.222568006,0.829243196,"2",2.079508066,103.648056,0.045964926,0.702001452,0.705077827,301,653,359,1174,3343,3860,4048,4013,1943,930,0.837077376900386,0.351360373894175,-16.6354,-20.9544,-27.8239,2.393622,-10.833,-14.28,-19.3666,1.607862,-18.4235385638482,-18.9172223658851,-20.1047171901636,0.864120866127493,-14.8289027786,-15.6286609128618,-16.7098002990001,0.787867658158774,0.206968665122986,0.642279386520386
"2","AEG02","ALB","2017",535010,5358415,18.75,21,120.5,164.75,"high","Rendzina",6.18,107.4653,12,1.873541098,0.798190175,4.955160142,0.805012313,3.340258537,0.753968403,"2",3.334102392,184.089035,0.080109105,0.84721446,0.855176568,266,638,306,1066,3789,4618,4942,4889,1769,804,0.883384146341463,0.472805841156311,-15.246,-18.7989,-23.455,1.864766,-9.20659,-12.8777,-15.8367,1.42174,-16.8284406845066,-19.6871510891299,-20.5414429317775,1.94458330661329,-13.5725142062386,-14.1075544393246,-14.5171988469639,0.414944460353971,0.13909412920475,0.428671330213547
"3","AEG03","ALB","2017",539398,5370311,4.53,35,68.7,66.6,"low","Rendzina",3.15,26.6951,18,2.540621046,0.89183432,9.245076586,0.905769231,8.238251073,0.878994558,"2",1.53525126,69.68261719,0.034418635,0.605906904,0.6145401,350,737,507,1350,3119,3495,3747,3777,2219,1106,0.76163610719323,0.256118002011398,-18.0576,-20.7685,-26.6837,1.732637,-11.3095,-13.7031,-16.8877,1.17885,-19.3692157772204,-19.8453151427138,-20.1090848066285,0.37497804871356,-13.1050926107081,-14.0227461383402,-14.1592825197816,0.495154420035872,0.169371128082275,0.994827330112457
"4","AEG04","ALB","2017",531016,5359610,19.75,22,103,189.5,"low","Rendzina",10.58,72.78669,14,2.065647946,0.815018135,5.405935347,0.823168317,4.411236599,0.782721892,"2",3.183813572,175.3467102,0.061122701,0.850601971,0.858462095,287,642,295,1158.5,3951,4802,5066,5119,2091.5,928,0.889945905614624,0.415578064966818,-16.4241,-20.1461,-24.8092,1.84325,-11.6802,-14.3404,-17.9111,1.433352,-16.4241122525718,-20.8159406713035,-21.1982608977765,2.65288587836152,-15.168461517267,-15.6599551208668,-16.7988091301023,0.74651846714457,0.196306116878986,0.533662229776382
"5","AEG05","ALB","2017",532511,5359895,15.25,20,98.7,195.25,"low","Rendzina",2.79,274.7113,17,2.253164604,0.831112037,5.92108508,0.839680202,5.939532512,0.795268245,"2",3.071192741,164.2803955,0.063149676,0.835417986,0.842907131,296,654,329,1172,3770,4535,4813,4907,2005,905,0.872034227926877,0.411850982692872,-16.4146,-19.1247,-23.4125,1.564634,-9.23561,-13.2977,-17.3749,1.68157,-17.5956382441771,-19.8052372159405,-21.0070919291962,1.73035635119972,-13.0933797443743,-14.1102664978507,-15.3242464977731,1.01710285902827,0.180145233869553,0.559865355491638
"6","AEG06","ALB","2017",532691,5358196,17.63,29,109.2,183.8,"low","Rendzina",7.22,163.7546,15,2.019536854,0.793469388,4.841897233,0.801098901,4.788868939,0.745753108,"2",2.905879259,165.5949097,0.060428642,0.800944567,0.782176971,222,502,230,922,3173,3918,4212,4270,1779,771,0.896443043674021,0.406109163745618,-16.2101,-20.3782,-24.771,1.681132,-11.0453,-13.7029,-17.5159,1.466499,-20.2641706498458,-21.3827518690339,-21.8117536530343,0.798986819494311,-14.5115333714373,-16.9652312556194,-17.5158605505804,1.22097728198548,0.236544221639633,0.426363319158554
"7","AEG07","ALB","2017",527898,5370556,6.38,44,58.6,57.5,"very low","Rendzina",10.23,224.6856,18,2.682932948,0.920438957,12.56896552,0.93780573,9.454689277,0.928231097,"2",0.809408486,39.25708771,0.018089745,0.389354706,0.356934905,500,759,775,1392,2374,2642,2892,3005,2629,1505,0.577311153531497,0.0476362977721427,-17.1598,-20.11,-22.4365,1.098575,-8.96865,-12.3923,-14.8772,1.109898,-18.9747410513089,-20.2175733318895,-20.4312225975592,0.786513040890194,-12.1884208241336,-13.5587566931159,-14.0900838221089,0.719990402535409,0.149170532822609,0.835137486457825
"8","AEG08","ALB","2017",536409,5361079,10.25,43,80.9,65.65,"low","Rendzina",3.74,13.90447,10,1.51251414,0.642857143,2.8,0.652173913,3.192578727,0.656876545,"2",0.893515676,45.16326904,0.019114428,0.450319767,0.420660153,525.5,829,824,1499,2701,3041,3335,3431,2826,1557,0.603750901659053,0.0826164583671482,-18.462,-21.4687,-27.7804,1.864817,-11.522,-14.4817,-17.599,1.176805,-21.1260704678641,-21.3357082501066,-21.4701840343647,0.173419473601413,-14.4816890886675,-15.3034695121489,-16.0810314942451,0.629967429997008,0.168175302445889,1.05693757534027
"9","AEG09","ALB","2017",537218,5360815,10,48,73.2,96.95,"very low","Rendzina",13.33,206.4604,14,1.888172531,0.736912453,3.801016088,0.748077793,5.389612574,0.715472343,"2",0.812593102,40.94970322,0.018599493,0.411284775,0.376109898,586,861,866,1468,2542,2853,3176,3191,2765,1571,0.571499257793172,0.0691802726813668,-16.5213,-19.471,-22.7261,1.225483,-10.9656,-13.2112,-15.6753,1.142895,-18.5781862311808,-19.6624425015788,-20.8345121522167,1.12844772348141,-12.1952064797709,-13.5701080388791,-14.1729986613313,0.783524860426918,0.161291554570198,0.848206520080566
"10","AEG10","ALB","2017",515743,5358995,10,39,78.7,165.2,"low","Rendzina",11.13,224.5657,16,2.371169012,0.877647918,8.173134328,0.889670492,6.278557731,0.855218444,"2",0.896968126,45.48586273,0.017496133,0.428310245,0.400556684,472,763,736,1361,2491,2804,3068,3153,2772,1556,0.613038906414301,0.0506849315068493,-16.1325,-20.59,-25.2164,1.414557,-8.52353,-13.2321,-15.6819,1.294793,-19.2039736577315,-19.5866956457426,-21.503906000746,1.23233250706966,-12.259348828197,-12.9280240604162,-14.4730159247007,0.871055210333014,0.145618721842766,0.84620863199234
