Exploratory	Year	Interviewer	Date	PlotID	EP_PlotID	LWCode	SizeManagementUnit	LanduseType	DescLanduse	LanduseIntensity	DescLanduseIntensity	Drainage	StartDrainage	WaterLogging	AllYearGrazing	StartGrazing	EndGrazing	GrazingType	Livestock1	GrazingOverNight1	StartGrazingPeriod1	EndGrazingPeriod1	Livestock2	GrazingOverNight2	StartGrazingPeriod2	EndGrazingPeriod2	Livestock3	GrazingOverNight3	StartGrazingPeriod3	EndGrazingPeriod3	Livestock4	GrazingOverNight4	StartGrazingPeriod4	EndGrazingPeriod4	Cattle6months1	Cattle6_24months1	CattlePlus2years1	SheepGoat1year1	SheepGoatPlus1year1	Pony1	Horse3years1	HorsePlus3years1	NbLivestock1	LivestockUnits1	DescLSU1	DayGrazing1	GrazingArea1	Cattle6months2	Cattle6_24months2	CattlePlus2years2	SheepGoat1year2	SheepGoatPlus1year2	Pony2	Horse3years2	HorsePlus3years2	NbLivestock2	LivestockUnits2	DescLSU2	DayGrazing2	GrazingArea2	Cattle6months3	Cattle6_24months3	CattlePlus2years3	SheepGoat1year3	SheepGoatPlus1year3	Pony3	Horse3years3	HorsePlus3years3	NbLivestock3	LivestockUnits3	DescLSU3	DayGrazing3	GrazingArea3	Cattle6months4	Cattle6_24months4	CattlePlus2years4	SheepGoat1year4	SheepGoatPlus1year4	Pony4	Horse3years4	HorsePlus3years4	NbLivestock4	LivestockUnits4	DescLSU4	DayGrazing4	GrazingArea4	SupplementaryFeeding	DescFeeding	Cuts	DateCut1	DateCut2	DateCut3	DateCut4	DateCut5	MowingType	DescMowing	ProductCut1	MowingMachine1	CutWidth_m1	CutHeight_cm1	DriveSpeed_kmh1	MowingConditioner1	TypeConditioner1	YieldMowing_dtTMha1	ProductCut2	MowingMachine2	CutWidth_m2	CutHeight_cm2	DriveSpeed_kmh2	MowingConditioner2	TypeConditioner2	YieldMowing_dtTMha2	ProductCut3	MowingMachine3	CutWidth_m3	CutHeight_cm3	DriveSpeed_kmh3	MowingConditioner3	TypeConditioner3	YieldMowing_dtTMha3	ProductCut4	MowingMachine4	CutWidth_m4	CutHeight_cm4	DriveSpeed_kmh4	MowingConditioner4	TypeConditioner4	YieldMowing_dtTMha4	ProductCut5	MowingMachine5	CutWidth_m5	CutHeight_cm5	DriveSpeed_kmh5	MowingConditioner5	TypeConditioner5	YieldMowing_dtTMha5	YieldMowingTotal_dtTMha	DescYield	Fertilization	NbFertilization	DateFertilization1	TypeFertApplication1	DateFertilization2	TypeFertApplication2	DateFertilization3	TypeFertApplication3	DateFertilization4	TypeFertApplication4	DateFertilization5	TypeFertApplication5	DateFertilization6	TypeFertApplication6	DateFertilization7	TypeFertApplication7	Manure_tha	TypeManure	Slurry_m3ha	TypeSlurry	Biogas_m3ha	Sludge_m3ha	Mash_m3ha	DescSlurryManure	ExactValOrg	NorgExact	PorgExact	KorgExact	minNitrogen_kgNha	minPhosphorus_kgPha	minPotassium_kgKha	Lime_kgCaha	Sulphur_kgSha	FertOther	DescFert	Maintenance	Leveling	DateLeveling1	DateLeveling2	DateLeveling3	Rolling	DateRolling1	DateRolling2	Mulching	DateMulching1	DateMulching2	ShrubClearanceMulch	DateScrubClMulch	ShrubClearanceSaw	DateScrubClSaw	DescMaintenance	PlantProtectionAgend	DescPPA	Seeds	DescSeeds	LanduserSince	UseSince	Intensity	DescIntensity	Agriculture1981	DescAgriculture1981	RecentLandConsolidation	DescLandConsolidation	OrganicStandards	DescOrganicStandards	AgriEnvironMeasures	DescAgriEnvironMeasures	OtherRemarks
ALB	2006	"Metke Lilienthal, Ralf Lauterbach"	2007-09-13	A19557	AEG1	LW208A	9.79	Wiese	-1	ja	-1	"keine Entwässerung"	-1	nein	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	NA	-1	0	0	NA	-1	2	2006-06-01	2006-07-31	-1	-1	-1	ja	-1	Heu	Kreiselmäher	NA	NA	NA	NA	NA	NA	Heu	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	"~ 65dt/ha"	-1	ja	1	NA	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	0	-1	0	-1	0	0	0	-1	-1	0	0	0	50	0	0	0	0	0	"Kalkamon 1mal im Fruehjahr"	ja	1	Fruehjahr	-1	-1	1	Fruehjahr	-1	0	0	0	0	0	0	0	"Schleppen Fruehjahr_1mal, Walzen Fruehjahr_1mal"	nein	-1	ja	"Nachsaat partiell: zur Reparatur: Saatgutmischung: 20% Weidelgras fruehbluehend, 20% Weidelgras mittelspaet-bluehend, 20% Weidelgras spaetbluehend, 20%Weidelgras tetra, 20% Wiesenrispe, Nachsaat jaehrlich"	1817	1950	nein	-1	nein	-1	NA	-1	nein	-1	nein	-1	-1
ALB	2006	"Ralf Lauterbach"	2009-06-30	A2277	AEG10	LW163A	4.13	Wiese	-1	ja	-1	"keine Entwässerung"	-1	nein	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	NA	-1	0	0	NA	-1	1	2006-07-15	-1	-1	-1	-1	ja	"Heu für Heizzwecke"	Heu	Doppelmesser	NA	NA	NA	NA	NA	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	"weniger als 65dt/ha"	-1	nein	0	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	0	-1	0	-1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	-1	ja	1	NA	-1	-1	0	0	0	0	0	0	0	0	0	0	"Schleppen Fruehjahr_1mal"	nein	-1	nein	-1	1978	1978	nein	-1	nein	-1	NA	-1	ja	"ökologische Bewirtschaftung ohne Düngung"	nein	-1	-1
ALB	2006	"Metke Lilienthal"	2007-11-15	A20470	AEG11	LW208A	5.61	Wiese	-1	nein	"seit 1999, davor in Forstbew."	"keine Entwässerung"	-1	nein	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	NA	-1	0	0	NA	-1	2	2006-06-30	2006-08-31	-1	-1	-1	ja	-1	Heu	Kreiselmäher	NA	NA	NA	NA	NA	NA	Heu	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	"weniger als 65dt/ha"	-1	ja	1	NA	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	0	-1	0	-1	0	0	0	-1	-1	0	0	0	35	0	0	0	0	0	"N rein, Fruehjahr"	ja	1	Fruehjahr	-1	-1	0	0	0	0	0	0	0	0	0	0	"Schleppen Fruehjahr_1mal"	nein	-1	ja	"Nachsaat partiell: zur Reparatur: Saatgutmischung: 20% Weidelgras fruehbluehend, 20% Weidelgras mittelspaet-bluehend, 20% Weidelgras spaetbluehend, 20%Weidelgras tetra, 20% Wiesenrispe, Nachsaat jaehrlich"	1999	1999	nein	-1	nein	-1	NA	-1	nein	-1	nein	-1	-1
ALB	2006	"Metke Lilienthal, Ralf Lauterbach"	2007-09-13	A20771	AEG12	LW208A	14.75	Wiese	-1	ja	-1	"keine Entwässerung"	-1	nein	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	NA	-1	0	0	NA	-1	2	2006-06-01	2006-07-31	-1	-1	-1	ja	-1	Heu	Kreiselmäher	NA	NA	NA	NA	NA	NA	Heu	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	"~ 65dt/ha"	-1	ja	1	NA	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	0	-1	0	-1	0	0	0	-1	-1	0	0	0	50	0	0	0	0	0	"Kalkamon 1mal im Fruehjahr"	ja	1	Fruehjahr	-1	-1	1	Fruehjahr	-1	0	0	0	0	0	0	0	"Schleppen Fruehjahr_1mal, Walzen Fruehjahr_1mal"	nein	-1	ja	"Nachsaat partiell: zur Reparatur: Saatgutmischung: 20% Weidelgras fruehbluehend, 20% Weidelgras mittelspaet-bluehend, 20% Weidelgras spaetbluehend, 20%Weidelgras tetra, 20% Wiesenrispe, Nachsaat jaehrlich"	1817	1950	nein	-1	nein	-1	NA	-1	nein	-1	nein	-1	-1
ALB	2006	"Metke Lilienthal, Ralf Lauterbach"	2007-09-13	A22610	AEG13	LW208A	6.74	Wiese	-1	ja	-1	"keine Entwässerung"	-1	nein	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	NA	-1	0	0	NA	-1	2	2006-06-01	2006-07-31	-1	-1	-1	ja	-1	Heu	Kreiselmäher	NA	NA	NA	NA	NA	NA	Heu	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	"~ 65dt/ha"	-1	ja	1	NA	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	0	-1	0	-1	0	0	0	-1	-1	0	0	0	50	0	0	0	0	0	"Kalkamon 1mal im Fruehjahr"	ja	1	Fruehjahr	-1	-1	1	Fruehjahr	-1	0	0	0	0	0	0	0	"Schleppen Fruehjahr_1mal, Walzen Fruehjahr_1mal"	nein	-1	ja	"Nachsaat partiell: zur Reparatur: Saatgutmischung: 20% Weidelgras fruehbluehend, 20% Weidelgras mittelspaet-bluehend, 20% Weidelgras spaetbluehend, 20%Weidelgras tetra, 20% Wiesenrispe, Nachsaat jaehrlich"	1817	1950	nein	-1	nein	-1	NA	-1	nein	-1	nein	-1	-1
ALB	2006	"Metke Lilienthal"	2007-08-28	A46088	AEG14	LW100A	5.64	Wiese	-1	ja	-1	"keine Entwässerung"	-1	nein	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	NA	-1	0	0	NA	-1	2	2006-05-15	2006-07-15	-1	-1	-1	ja	-1	Silage	Kreiselmäher	NA	NA	NA	NA	NA	NA	Silage	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	"~ 65dt/ha"	-1	ja	2	NA	NA	NA	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	0	-1	20	Rind	0	0	0	"Annahme Rind Guelle: April, ende Mai"	nein	0	0	0	60	0	0	0	0	0	"Stickstoff als Kalkamon: April, Ende Mai"	ja	1	Fruehjahr	-1	-1	0	0	0	0	0	0	0	0	0	0	"Schleppen Fruehjahr_1mal"	nein	-1	ja	"Nachsaat jaehrlich: im Fruehjahr mit empfohlener Mischung des LWA-Muensingen"	2005	2005	nein	-1	nein	-1	NA	-1	nein	-1	nein	-1	-1
ALB	2006	"Metke Lilienthal"	2007-08-21	A35767	AEG15	LW102A	3.78	Wiese	-1	ja	-1	"keine Entwässerung"	-1	nein	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	NA	-1	0	0	NA	-1	3	2006-05-20	2006-07-15	2006-08-20	-1	-1	ja	-1	Silage	Kreiselmäher	NA	NA	NA	NA	NA	NA	Silage	NA	NA	NA	NA	NA	NA	NA	Silage	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	"~ 75dt/ha"	-1	ja	2	NA	NA	NA	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	0	-1	40	Misch	0	0	0	"MischGuelle Rind Ende Juli, Mitte April,  - teils auch Schweineguelle (hoeherer N und P Gehalt!)"	nein	0	0	0	0	0	0	0	0	0		ja	1	Fruehjahr	-1	-1	0	0	0	0	0	0	0	0	0	0	"Schleppen Fruehjahr_1mal"	nein	-1	nein	-1	1993	1993	nein	-1	ja	"moeglicherweise in Teilen der heutigen Bewirtschaftungseinheit vor 1993"	NA	-1	nein	-1	nein	-1	-1
ALB	2006	"Ralf Lauterbach"	2009-02-26	A36692	AEG16	LW093A	16.03	Maehweide	-1	ja	-1	"keine Entwässerung"	-1	nein	nein	Juli	Oktober	Dauerweide	Rind	-1	NA	NA	Pferd	-1	NA	NA	-1	-1	-1	-1	-1	NA	-1	-1	8	4	10	0	0	0	0	3	25	18.1	-1	120	NA	0	0	0	0	0	0	NA	NA	NA	NA	-1	NA	NA	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	NA	-1	0	0	nein	-1	1	2006-06-15	-1	-1	-1	-1	ja	-1	Heu	Kreiselmäher	NA	NA	NA	NA	NA	NA	Heu	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	"~ 75dt/ha"	-1	ja	1	NA	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	10	Rind	0	-1	0	0	0	"Tierart nicht bekannt - Annahme Rind"	nein	0	0	0	0	0	0	0	0	0	-1	ja	1	Fruehjahr	-1	-1	0	0	0	0	0	0	0	0	0	0	"Schleppen Fruehjahr_1mal"	nein	-1	nein	-1	2005	1987	nein	-1	nein	-1	NA	-1	ja	"Bioland seit 2001"	"ja, eine/mehrere Massnahme/n auf dieser Flaeche"	"MEKA: ""Programm zur Artenvielfalt"", ""oekologische Bewirtschaftung"""	-1
ALB	2006	"Metke Lilienthal"	2007-08-21	A46114	AEG17	LW023A	1.98	Wiese	-1	ja	-1	"keine Entwässerung"	-1	nein	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	NA	-1	0	0	NA	-1	3	2006-05-31	2006-07-15	2006-09-15	-1	-1	ja	-1	Silage	Kreiselmäher	NA	NA	NA	NA	NA	NA	Silage	NA	NA	NA	NA	NA	NA	NA	Silage	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	"~ 75dt/ha"	-1	ja	1	NA	NA	0	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	0	-1	25	Rind	0	0	0	"Annahme Rind"	nein	0	0	0	0	0	0	0	0	0	-1	ja	1	Fruehjahr	-1	-1	0	0	0	0	0	0	0	0	0	0	"Schleppen Fruehjahr_1mal"	nein	-1	nein	-1	1995	1995	nein	"In Trockenjahren (2003) nur 2 Schnitte"	nein	-1	NA	-1	ja	"EU-Bio seit 2006 , Aussicht auf Verbandszertifizierung in den naechsten Jahren (Bioland)"	"ja, eine/mehrere Massnahme/n auf dieser Flaeche"	"MEKA 2006: ""Gruenlandgrundpunkte"""	-1
ALB	2006	"Metke Lilienthal"	2007-08-28	A46500	AEG18	LW100A	3.5	Wiese	-1	ja	"ja, Ausnahme: Flurstueck 5051000 Acker bis 2006"	"keine Entwässerung"	-1	nein	-1	-1	-1		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	NA	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	NA	-1	0	0	NA	-1	3	2006-05-15	2006-07-15	2006-09-15	-1	-1	ja	-1	Silage	Kreiselmäher	NA	NA	NA	NA	NA	NA	Silage	NA	NA	NA	NA	NA	NA	NA	Silage	NA	NA	NA	NA	NA	NA	NA	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	"~ 75dt/ha"	-1	ja	2	NA	NA	NA	NA	-1	NA	-1	NA	-1	NA	-1	NA	-1	NA	0	-1	40	Rind	0	0	0	"Rind?Guelle: April, ende Mai"	nein	0	0	0	60	350	0	0	0	0	"Stickstoff als Kalkamon: April, Ende Mai; Phosphor als G18: April"	ja	1	Fruehjahr	-1	-1	0	0	0	0	0	0	0	0	0	0	"Schleppen Fruehjahr_1mal"	nein	-1	ja	"Nachsaat jaehrlich: im Fruehjahr mit empfohlener Mischung des LWA-Muensingen"	2005	2005	nein	-1	ja	"Flurbereinigung 1992: Wechsel der Bewirtschafter"	NA	-1	nein	-1	nein	-1	-1
