,avgVarImp,rowSds(matrix)
SoilType,11.02038476,2.020679653
slope,13.29890525,2.435347134
aspect,2.789440242,1.428790596
LAI,12.61649696,1.969299186
EVI,6.81447532,1.405559749
SAVI,10.01274251,0.943268904
GNDVI,11.15361311,1.266448942
ARVI,9.311775705,0.912342024
CHLRE,14.42847567,1.710807174
MCARI,7.687914591,1.452663935
NDII,10.9310178,1.146221533
MIRNIR,11.48473748,1.529820676
MNDVI,12.59611572,1.606507233
VHMax_May,10.24332894,2.189763708
VVMax_May,4.106778094,1.678368757
NDVI.y,8.709696397,0.812868676
