,gid,explrtr,ep,type,source,VIP,SoilType,SoilType2,object,x,,y
0,51,ALB,AEG01,grassland,UAV Acquisition ALB 2018,yes,NA,NA,1,525313,,5360594
11,62,ALB,AEG02,grassland,UAV Acquisition ALB 2018,yes,NA,NA,12,535010,,5358415
18,73,ALB,AEG03,grassland,UAV Acquisition ALB 2018,yes,NA,NA,19,539398,,5370311
26,84,ALB,AEG04,grassland,UAV Acquisition ALB 2018,yes,NA,NA,27,531016,,5359610
34,95,ALB,AEG05,grassland,UAV Acquisition ALB 2018,yes,NA,NA,35,532511,,5359895
35,97,ALB,AEG06,grassland,UAV Acquisition ALB 2018,yes,NA,NA,36,532691,,5358196
36,98,ALB,AEG07,grassland,UAV Acquisition ALB 2018,yes,NA,NA,37,527898,,5370556
37,99,ALB,AEG08,grassland,UAV Acquisition ALB 2018,yes,NA,NA,38,536409,,5361079
38,100,ALB,AEG09,grassland,UAV Acquisition ALB 2018,yes,NA,NA,39,537218,,5360815
1,52,ALB,AEG10,grassland,UAV Acquisition ALB 2018,no,Rendzind,Leptosol,2,515743,,5358995
2,53,ALB,AEG11,grassland,UAV Acquisition ALB 2018,no,Rendzind,Leptosol,3,525694,,5360594
3,54,ALB,AEG12,grassland,UAV Acquisition ALB 2018,no,Rendzind,Leptosol,4,525928,,5358296
4,55,ALB,AEG13,grassland,UAV Acquisition ALB 2018,no,Rendzind,Leptosol,5,526813,,5365512
5,56,ALB,AEG14,grassland,UAV Acquisition ALB 2018,no,Rendzind,Leptosol,6,538408,,5361376
6,57,ALB,AEG15,grassland,UAV Acquisition ALB 2018,no,Rendzind,Leptosol,7,533150,,5363004
7,58,ALB,AEG16,grassland,UAV Acquisition ALB 2018,no,Rendzind,Leptosol,8,533725,,5360484
8,59,ALB,AEG17,grassland,UAV Acquisition ALB 2018,no,Rendzind,Leptosol,9,538376,,5360295
9,60,ALB,AEG18,grassland,UAV Acquisition ALB 2018,no,Rendzind,Leptosol,10,538609,,5362694
